,,シャワー,shower,en-us,JLPT 5
十,じゅう とお,,ten,en-us,JLPT 5
授業,じゅぎょう,,"lesson,class work",en-us,JLPT 5
宿題,しゅくだい,,homework,en-us,JLPT 5
上手,じょうず,,skillful,en-us,JLPT 5
丈夫,じょうぶ,,"strong,durable",en-us,JLPT 5
,しょうゆ,,soy sauce,en-us,JLPT 5
食堂,しょくどう,,dining hall,en-us,JLPT 5
知る,しる,,to know,en-us,JLPT 5
白,しろ,,white,en-us,JLPT 5
白い,しろい,,white,en-us,JLPT 5
新聞,しんぶん,,newspaper,en-us,JLPT 5
水曜日,すいようび,,Wednesday,en-us,JLPT 5
吸う,すう,,"to smoke,to suck",en-us,JLPT 5
,,スカート,skirt,en-us,JLPT 5
好き,すき,,likeable,en-us,JLPT 5
少ない,すくない,,a few,en-us,JLPT 5
,すぐに,,instantly,en-us,JLPT 5
少し,すこし,,few,en-us,JLPT 5
涼しい,すずしい,,refreshing,en-us,JLPT 5
,,ストーブ,heater,en-us,JLPT 5
,,スプーン,spoon,en-us,JLPT 5
,,スポーツ,sport,en-us,JLPT 5
,,ズボン,trousers,en-us,JLPT 5
住む,すむ,,to live in,en-us,JLPT 5
,,スリッパ,slippers,en-us,JLPT 5
,する,,to do,en-us,JLPT 5
座る,すわる,,to sit,en-us,JLPT 5
背,せ,,"height,stature",en-us,JLPT 5
生徒,せいと,,pupil,en-us,JLPT 5
,,セーター,"sweater,jumper",en-us,JLPT 5
,せっけん,,soap,en-us,JLPT 5
背広,せびろ,,business suit,en-us,JLPT 5
狭い,せまい,,narrow,en-us,JLPT 5
,,ゼロ,zero,en-us,JLPT 5
千,せん,,thousand,en-us,JLPT 5
先月,せんげつ,,last month,en-us,JLPT 5
先週,せんしゅう,,last week,en-us,JLPT 5
先生,せんせい,,"teacher,doctor",en-us,JLPT 5
洗濯,せんたく,,washing,en-us,JLPT 5
全部,ぜんぶ,,all,en-us,JLPT 5
掃除,そうじする,,"to clean, to sweep",en-us,JLPT 5
,そうして/そして,,and,en-us,JLPT 5
,そこ,,that place,en-us,JLPT 5
,そちら,,over there,en-us,JLPT 5
,そっち,,over there,en-us,JLPT 5
外,そと,,outside,en-us,JLPT 5
,その,,that,en-us,JLPT 5
,そば,,"near,beside",en-us,JLPT 5
空,そら,,sky,en-us,JLPT 5
,それ,,that,en-us,JLPT 5
,それから,,after that,en-us,JLPT 5
,それでは,,in that situation,en-us,JLPT 5
大学,だいがく,,university,en-us,JLPT 5
大使館,たいしかん,,embassy,en-us,JLPT 5
大丈夫,だいじょうぶ,,all right,en-us,JLPT 5
大好き,だいすき,,to be very likeable,en-us,JLPT 5
大切,たいせつ,,important,en-us,JLPT 5
台所,だいどころ,,kitchen,en-us,JLPT 5
,たいへん,,very,en-us,JLPT 5
,たいへん,,difficult situation,en-us,JLPT 5
高い,たかい,,"tall, expensive",en-us,JLPT 5
,たくさん,,many,en-us,JLPT 5
,,タクシー,taxi,en-us,JLPT 5
出す,だす,,to put out,en-us,JLPT 5
立つ,たつ,,to stand,en-us,JLPT 5
,たて,,"length,height",en-us,JLPT 5
建物,たてもの,,building,en-us,JLPT 5
楽しい,たのしい,,enjoyable,en-us,JLPT 5
頼む,たのむ,,to ask,en-us,JLPT 5
,たばこ,,"tobacco,cigarettes",en-us,JLPT 5
,たぶん,,probably,en-us,JLPT 5
食べ物,たべもの,,food,en-us,JLPT 5
